,lat,lon,amenity,name,tags,address,Code,Place,is chain
194,49.279937200000006,-123.1073562,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'wheelchair': 'yes', 'level': '0', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Fr 05:30-22:00; Sa 06:00-22:00; Su 06:00-21:00', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:unit': '1089'}","2097-88 W Pender St, Vancouver, BC V6B 2L1, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
202,49.2789073,-123.1221767,fast_food,uncle fatih's pizza,"{'opening_hours:signed': 'no', 'addr:housenumber': '625', 'website': 'http://unclefatih.com', 'phone': '+1-604-563-4040', 'drive_through': 'no', 'cuisine': 'pizza', 'addr:street': 'Nelson Street', 'addr:city': 'Vancouver'}","625 Nelson St, Vancouver, BC V6B 2E5, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
203,49.2810223,-123.1189956,restaurant,meat & bread,"{'addr:housenumber': '625', 'addr:street': 'Robson Street'}","625 Robson St, Vancouver, BC V6B 5J3, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
205,49.28109,-123.1190968,fast_food,five guys,"{'brand:wikidata': 'Q1131810', 'official_name': 'Five Guys Burgers and Fries', 'addr:housenumber': '635', 'brand:wikipedia': 'en:Five Guys', 'opening_hours': 'Mo-Th,Su 11:00-22:00; Fr,Sa 11:00-00:00', 'cuisine': 'burger', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand': 'Five Guys'}","635 Robson St, Vancouver, BC V6B 5J3, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
210,49.2831516,-123.1154178,fast_food,a&w,"{'opening_hours': '24/7', 'cuisine': 'burger', 'internet_access': 'wlan', 'addr:city': 'Vancouver'}","603 Dunsmuir St, Vancouver, BC V6B 1Y7, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
218,49.2807931,-123.1191954,fast_food,red burrito,"{'addr:province': 'BC', 'addr:housenumber': '606', 'phone': '+1-604-676-0097', 'cuisine': 'mexican', 'addr:street': 'Robson Street', 'addr:postcode': 'V6B 2B9', 'addr:city': 'Vancouver'}","616 Robson St, Vancouver, BC V6B 2B9, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
221,49.2838195,-123.1118877,cafe,waves coffee,"{'opening_hours': 'Mo-Fr 07:00-24:00, Sa 08:00-24:00, Su 08:00-22:00', 'addr:housenumber': '492', 'addr:street': 'West Hastings Street'}","492 W Hastings St, Vancouver, BC V6B 2Z4, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
226,49.282623,-123.109344,fast_food,meat & bread,"{'addr:province': 'BC', 'opening_hours': 'Mo-Sa 11:00-17:00', 'addr:housenumber': '370', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}","360 Cambie St, Vancouver, BC V6B 2N3, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
254,49.28384370000001,-123.1053674,restaurant,the old spaghetti factory,"{'diet:vegetarian': 'yes', 'addr:housenumber': '53', 'website': 'http://www.oldspaghettifactory.ca/locations/gastown', 'haunted': 'yes', 'cuisine': 'italian', 'name:en': 'The Old Spaghetti Factory', 'addr:street': 'Water Street'}","53 Water St, Vancouver, BC V6B 1A1, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
255,49.2796325,-123.1078508,cafe,blenz,"{'wheelchair': 'yes', 'addr:housenumber': '603', 'internet_access': 'wlan', 'cuisine': 'coffee_shop', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}","603 Abbott St, Vancouver, BC V6B 6B9, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
257,49.2860889,-123.1163367,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '490', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Hornby Street', 'takeaway': 'yes', 'brand': 'Tim Hortons'}","490 Hornby St, Vancouver, BC V6B 3B2, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
258,49.28223670000001,-123.1092038,fast_food,donair dude,"{'website': 'https://www.donairdude.com/', 'internet_access': 'wlan', 'cuisine': 'kebab', 'addr:postcode': 'V6B 1G8', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '164', 'phone': '+1-604-564-4456', 'drive_through': 'no', 'opening_hours': 'Mo-Th 10:30-00:00; Fr 10:30-02:00; Sa 11:00-02:00; Su 11:00-23:00', 'addr:street': 'West Hastings Street', 'email': 'gastown@donairdude.com'}","184 W Hastings St, Vancouver, BC V6B 1H2, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
259,49.2832205,-123.1155257,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '607', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'addr:street': 'Dunsmuir Street', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'addr:city': 'Vancouver'}","603 Seymour St, Vancouver, BC V6B 1Y7, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
260,49.2829884,-123.1156531,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Fr 05:00-20:00; Sa 07:00-18:30; Su 07:00-17:30', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}","600 Dunsmuir St, Vancouver, BC V6B 1Y6, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
262,49.2823756,-123.10848590000002,fast_food,subway,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '139', 'brand:wikipedia': 'en:Subway (restaurant)', 'opening_hours': 'Mo-Fr 07:00-23:00; Sa 08:00-23:00; Su 09:00-23:00', 'cuisine': 'sandwich', 'addr:street': 'West Hastings Street', 'takeaway': 'yes', 'brand': 'Subway'}","139 W Hastings St, Vancouver, BC V6B 1H4, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
270,49.2810287,-123.118654,cafe,blenz coffee,"{'addr:housenumber': '767', 'website': 'https://blenz.com/', 'payment:bitcoin': 'no', 'internet_access': 'wlan', 'phone': '+1-604-633-0144', 'internet_access:fee': 'no', 'yelp': 'http://www.yelp.com/biz/blenz-coffee-vancouver-9', 'addr:street': 'Seymour Street', 'addr:postcode': 'V6B 5J3', 'addr:city': 'Vancouver'}","767 BC-99, Vancouver, BC V6B 5J3, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
274,49.2785018,-123.1156293,fast_food,subway,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '260', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand': 'Subway', 'addr:city': 'Vancouver'}","260 Robson St, Vancouver, BC V6B 6A1, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
279,49.2841391,-123.1142912,fast_food,burger king,"{'brand:wikidata': 'Q177054', 'addr:housenumber': '612', 'brand:wikipedia': 'en:Burger King', 'cuisine': 'burger', 'addr:street': 'West Pender Street', 'takeaway': 'yes', 'brand': 'Burger King'}","620 W Pender St, Vancouver, BC V6B 1V8, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
285,49.274665,-123.122111,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'outdoor_seating': 'yes', 'addr:street': 'Mainland Street', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Vancouver'}","1185 Mainland St, Vancouver, BC V6B 2S2, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
292,49.2827611,-123.1096481,restaurant,nuba,"{'toilets:wheelchair': 'yes', 'diet:vegetarian': 'yes', 'wheelchair': 'no', 'addr:housenumber': '207', 'website': 'https://www.nuba.ca/', 'phone': '+1-604-688-1655', 'opening_hours': 'Mo-Th 11:30-21:00; Fr 11:30-22:00; Sa 11:00-22:00; Su 11:00-21:00', 'cuisine': 'lebanese', 'addr:street': 'West Hastings Street', 'takeaway': 'yes'}","205 W Hastings St, Vancouver, BC V6B 1H7, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
293,49.2825011,-123.1092466,cafe,bean around the world,"{'addr:province': 'BC', 'toilets:wheelchair': 'yes', 'wheelchair': 'limited', 'addr:housenumber': '175', 'website': 'http://www.fuelledbycaffeine.com', 'internet_access': 'wlan', 'opening_hours': 'Mo 07:00-18:00; Tu-Fr 07:00-19:00; Sa 09:00-19:00; Su 09:00-18:00', 'cuisine': 'coffee_shop', 'addr:street': 'West Hastings Street', 'addr:postcode': 'V6B 1H4', 'addr:city': 'Vancouver'}","163 W Hastings St #507, Vancouver, BC V6B 1H5, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
299,49.2750892,-123.1227583,restaurant,cactus club cafe,"{'diet:gluten_free': 'yes', 'air_conditioning': 'yes', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'diet:vegetarian': 'yes', 'addr:housenumber': '357', 'bar': 'yes', 'phone': '+1-604-685-8070', 'smoking': 'no', 'opening_hours': 'Su-We 11:30-00:00; Th-Sa 11:30-01:00', 'reservation': 'yes', 'outdoor_seating': 'yes', 'addr:street': 'Davie Street'}","357 Davie St, Vancouver, BC V6B 1R2, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
300,49.275785600000006,-123.12110990000002,cafe,blenz coffee,"{'website': 'https://blenz.com/', 'internet_access': 'wlan', 'level': '0', 'cuisine': 'coffee_shop', 'addr:postcode': 'V6B 6C5', 'addr:city': 'Vancouver', 'addr:housenumber': '338', 'phone': '+1-604-609-2768', 'smoking': 'no', 'opening_hours': 'Mo-Th 06:00-22:00; Fr 06:00-23:00; Sa 07:00-23:00; Su 07:00-22:00', 'addr:street': 'Helmcken Street', 'email': 'yaletown@blenz.com'}","338 Helmcken St, Vancouver, BC V6B 6C5, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
302,49.2765618,-123.1193697,restaurant,the keg steakhouse + bar - yaletown,"{'addr:housenumber': '1011', 'air_conditioning': 'yes', 'smoking': 'no', 'opening_hours': 'Su-Th 16:00-24:00, Fr,Sa 16:00-01:30', 'reservation': 'yes', 'outdoor_seating': 'yes', 'addr:street': 'Mainland Street', 'addr:city': 'Vancouver'}","1013 Mainland St, Vancouver, BC V6B 5P9, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
306,49.2860028,-123.1124564,fast_food,chronic tacos,{'opening_hours': 'Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 10:00-21:00'},"34-601 W Cordova St, Vancouver, BC V6B 1G1, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
315,49.2798631,-123.1177806,fast_food,chopped leaf,"{'wheelchair': 'yes', 'website': 'https://www.choppedleaf.ca/', 'cuisine': 'salads, wraps, soups', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '488', 'phone': '+1-604-609-2467', 'drive_through': 'no', 'smoking': 'no', 'opening_hours': 'Mo-Fr 09:00-20:00; Sa,Su 11:00-19:00', 'outdoor_seating': 'yes', 'addr:street': 'Robson Street'}","488 Robson St, Vancouver, BC V6B 2B7, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
316,49.284463099999996,-123.1134341,cafe,starbucks,"{'source:location': 'extrapolation', 'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '433', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Seymour Street', 'source': 'survey', 'takeaway': 'yes', 'brand': 'Starbucks'}","433 Seymour St, Vancouver, BC V6B 3H5, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
317,49.2850471,-123.1120652,cafe,tim hortons,"{'source:location': 'gps', 'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'survey', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}","300 Seymour St, Vancouver, BC V6B 4N5, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
322,49.2831781,-123.1044747,fast_food,vera's burger shack,"{'addr:housenumber': '213', 'website': 'http://www.verasburgershack.com', 'phone': '+1-604-568-5850', 'opening_hours': 'Mo-Th,Su 11:00-21:00; Fr,Sa 11:00-22:00', 'addr:street': 'Carrall Street', 'addr:postcode': 'V6B 2J2'}","213 Carrall St, Vancouver, BC V6B 2J2, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
323,49.2797733,-123.1130766,pub,browns social house,"{'opening_hours': 'Mo-Fr 11:00-00:00; Sa, Su 10:00-00:00', 'website': 'https://brownssocialhouse.com/'}","695 Cambie St, Vancouver, BC V6B 0K9, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
328,49.2795971,-123.1174151,fast_food,orange julius,"{'brand:wikidata': 'Q3355059', 'addr:housenumber': '438', 'brand:wikipedia': 'en:Orange Julius', 'cuisine': 'juice', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand': 'Orange Julius'}","436 Robson St, Vancouver, BC V6B 0H3, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
329,49.2796191,-123.117481,fast_food,a&w,"{'brand:wikidata': 'Q2818848', 'addr:housenumber': '450', 'brand:wikipedia': 'en:A&W (Canada)', 'opening_hours': 'Mo-We 06:00-23:00; Th-Fr 06:00-00:00; Sa 07:30-00:00; Su 07:30-23:00', 'cuisine': 'burger', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand': 'A&W'}","450 Robson St, Vancouver, BC V6B 0H3, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
339,49.2814612,-123.1051707,pub,darby's,"{'addr:housenumber': '18', 'website': 'https://www.darbysgastown.pub/', 'addr:street': 'West Hastings Street', 'addr:city': 'Vancouver'}","16 W Hastings St, Vancouver, BC V6B 1G4, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
343,49.2827821,-123.107962,cafe,jj bean,"{'opening_hours': 'Mo-Fr 07:00-19:00; Sa,Su 08:00-18:00', 'addr:housenumber': '146', 'addr:street': 'West Cordova Street'}","146 W Cordova St, Vancouver, BC V6B 0G9, Canada",V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),True
