,lat,lon,timestamp,amenity,name,tags
309,49.2796207,-123.1011093,2019-09-13T13:57:04.000-07:00,restaurant,gold stone bakery & restaurant,"{'addr:housenumber': '139', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}"
310,49.2821955,-123.1024011,2019-09-13T13:57:04.000-07:00,bar,back and forth bar,"{'note': 'They have ping pong. Not sure about how to tag that', 'addr:housenumber': '303', 'addr:street': 'Columbia Street', 'addr:city': 'Vancouver'}"
311,49.2831638,-123.1035309,2019-09-13T13:57:04.000-07:00,restaurant,the sardine can,"{'addr:housenumber': '26', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
312,49.2836044,-123.1036863,2019-09-13T13:57:04.000-07:00,ice_cream,soft peaks ice cream,"{'addr:housenumber': '25', 'addr:street': 'Alexander Street', 'addr:city': 'Vancouver'}"
313,49.284169,-123.1073434,2019-09-13T13:57:04.000-07:00,bar,131 water kitchen & bar,"{'addr:housenumber': '131', 'addr:street': 'Water Street', 'addr:city': 'Vancouver'}"
314,49.2834234,-123.1064112,2019-09-13T13:57:04.000-07:00,restaurant,jules bistro,"{'addr:housenumber': '216', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}"
315,49.2731066,-123.1007271,2020-02-05T20:20:15.000-08:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '195', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Terminal Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'addr:city': 'Vancouver'}"
319,49.2427766,-123.0040514,2018-04-28T05:57:25.000-07:00,restaurant,crystal palace,{'cuisine': 'chinese'}
320,49.2427149,-123.004048,2019-07-07T04:11:10.000-07:00,fast_food,subway,"{'brand:wikidata': 'Q244457', 'cuisine': 'sandwich', 'takeaway': 'yes', 'brand': 'Subway', 'brand:wikipedia': 'en:Subway (restaurant)'}"
322,49.1720953,-123.1336083,2019-09-13T13:57:04.000-07:00,restaurant,tokyo joe's,"{'addr:housenumber': '8211', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond'}"
324,49.325981,-123.1423367,2020-05-29T04:38:32.000-07:00,restaurant,cactus club cafe,{}
328,49.2769081,-122.8589634,2020-02-12T23:53:44.000-08:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'wheelchair': 'yes', 'addr:housenumber': '2350', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Saint Johns Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
330,49.2873953,-123.1288386,2019-10-24T00:55:34.000-07:00,restaurant,joongwon,"{'addr:housenumber': '1329', 'addr:street': 'Robson Street'}"
331,49.2866244,-123.1282577,2020-01-06T05:53:27.000-08:00,fast_food,chongqing on robson,"{'addr:housenumber': '1260', 'website': 'https://chong-qing-restaurant-online-ordering.securebrygid.com', 'phone': '+1-604-568-0303', 'opening_hours': 'Mo-Su 11:30-22:00', 'cuisine': 'chinese', 'addr:street': 'Robson Street', 'addr:postcode': 'V6E 1C1', 'addr:city': 'Vancouver'}"
332,49.287665,-123.1292506,2016-07-27T15:29:41.000-07:00,restaurant,stepho's,"{'cuisine': 'greek', 'addr:street': 'Robson Street'}"
333,49.2867409,-123.1284213,2016-07-27T14:52:31.000-07:00,fast_food,a taste of india,"{'cuisine': 'indian', 'addr:housenumber': '1282', 'addr:street': 'Robson Street'}"
334,49.2875709,-123.1291089,2019-10-24T00:55:34.000-07:00,restaurant,hon's wun-tun house,"{'cuisine': 'chinese', 'addr:housenumber': '1339', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}"
335,49.2873728,-123.1282271,2019-10-29T03:23:55.000-07:00,restaurant,miss korean bbq,"{'addr:housenumber': '793', 'addr:street': 'Jervis Street', 'addr:city': 'Vancouver'}"
336,49.2871553,-123.1290789,2019-03-22T02:54:41.000-07:00,restaurant,forage,"{'opening_hours': '24/7', 'website': 'https://foragevancouver.com/', 'addr:street': 'Robson Street', 'phone': '+1-604-661-1400'}"
337,49.2870445,-123.128902,2019-09-18T23:00:49.000-07:00,restaurant,timber,"{'opening_hours': 'Mo-Th 12:00-00:00; Fr 12:00-01:00; Sa 11:00-01:00; Su 11:00-00:00', 'cuisine': 'american', 'addr:housenumber': '1300', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}"
338,49.2874858,-123.1289807,2019-10-24T00:55:34.000-07:00,restaurant,miko sushi,"{'addr:housenumber': '1335', 'phone': '+1-604-681-0339', 'smoking': 'no', 'opening_hours': 'Mo-Fr 11:30-14:00,17:00-21:30; Sa 17:00-21:30', 'cuisine': 'japanese;sushi', 'outdoor_seating': 'no', 'addr:street': 'Robson Street', 'addr:postcode': 'V6E 1C6', 'addr:city': 'Vancouver'}"
339,49.2875631,-123.129718,2019-09-18T23:00:49.000-07:00,restaurant,cora,"{'brand:wikidata': 'Q2996960', 'addr:housenumber': '1368', 'brand:wikipedia': 'en:Cora (restaurant)', 'cuisine': 'breakfast', 'addr:street': 'Robson Street', 'brand': 'Cora', 'addr:city': 'Vancouver'}"
340,49.2866006,-123.1282087,2019-08-23T07:46:30.000-07:00,cafe,chatime,"{'brand:wikidata': 'Q16829306', 'brand:en': 'Chatime', 'addr:housenumber': '1274', 'brand:wikipedia': 'en:Chatime', 'cuisine': 'bubble_tea', 'name:en': 'Chatime', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand:zh': '日出茶太', 'brand': 'Chatime', 'name:zh': '日出茶太'}"
341,49.2865615,-123.1281828,2016-07-27T18:08:36.000-07:00,fast_food,pok'e time,"{'cuisine': 'japanese', 'addr:housenumber': '1258', 'addr:street': 'Robson Street'}"
342,49.2864194,-123.1272344,2019-03-02T23:17:21.000-08:00,cafe,abode,"{'addr:housenumber': '1223', 'addr:street': 'Robson Street'}"
343,49.2866559,-123.1274985,2016-07-27T18:08:39.000-07:00,pub,shenanigans,{'addr:street': 'Robson Street'}
358,49.2623529,-123.0894813,2019-09-13T13:56:59.000-07:00,restaurant,hail mary's,"{'addr:housenumber': '670', 'addr:street': 'East Broadway', 'phone': '+1-604-829-7032', 'addr:postcode': 'V5T 1X6', 'addr:city': 'Vancouver'}"
405,49.2657244,-123.2430971,2019-04-19T23:12:46.000-07:00,fast_food,red burrito,{'cuisine': 'mexican'}
406,49.2661113,-123.2420861,2019-05-29T17:24:51.000-07:00,fast_food,pita pit,"{'brand:wikidata': 'Q7757289', 'cuisine': 'pita', 'takeaway': 'yes', 'brand': 'Pita Pit', 'brand:wikipedia': 'en:Pita Pit'}"
407,49.2660115,-123.2423353,2010-03-11T09:34:42.000-08:00,cafe,only u cafe,{}
408,49.1203849,-122.6632837,2019-09-13T13:56:49.000-07:00,restaurant,umami sushi,"{'addr:housenumber': '20202', 'addr:street': '66 Avenue', 'addr:unit': '2', 'addr:city': 'Langley'}"
414,49.0558043,-122.2722298,2019-09-02T22:08:26.000-07:00,fast_food,subway,"{'opening_hours': 'Mo-Fr 07:00-22:00; Sa-Su 08:00-22:00', 'cuisine': 'sandwich', 'website': 'http://subway.ca', 'ref': 'Store #67123', 'phone': '+1-604-776-1122'}"
417,49.13295,-122.5818856,2019-05-27T10:58:25.000-07:00,fast_food,triple o's,"{'cuisine': 'burger', 'addr:housenumber': '23182', 'addr:street': '232 Street'}"
439,49.2687109,-123.1186399,2016-08-14T04:33:38.000-07:00,pub,the wicklow pub,{'addr:housenumber': '610'}
440,49.2821452,-123.0762115,2019-09-02T22:08:26.000-07:00,bar,callister tasting room,"{'addr:housenumber': '1338', 'website': 'http://www.callisterbrewing.com/', 'shop': 'alcohol', 'phone': '+1-604-569-2739', 'opening_hours': 'Mo-Th 14:00-21:00; Fr 14:00-22:00,09:00-18:00; Sa 13:00-22:00; Su 13:00-20:00', 'outdoor_seating': 'no', 'addr:street': 'Franklin Street', 'addr:postcode': 'V5L 1N9', 'email': 'info@callisterbrewing.com', 'addr:city': 'Vancouver'}"
444,49.2833626,-123.0757512,2019-03-22T02:56:22.000-07:00,bar,powell brewery tasting room,"{'opening_hours': 'Mo-Th 14:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00', 'website': 'https://www.powellbeer.com/', 'shop': 'alcohol', 'email': 'tim@powellbeer.com'}"
448,49.2724958,-123.0777288,2018-10-26T20:30:44.000-07:00,bar,strange fellows tasting room,"{'opening_hours': 'Mo-Su 12:00-23:00', 'website': 'https://strangefellowsbrewing.com/', 'shop': 'alcohol', 'outdoor_seating': 'no', 'phone': '+1-604-215-0092'}"
456,49.2821191,-123.1336624,2020-03-14T19:34:44.000-07:00,restaurant,ramen koika,"{'addr:province': 'BC', 'opening_hours': 'Mo-Th 11:30-22:00; Fr 11:30-22:30; Sa 12:00-22:30; Su 12:00-22:00', 'addr:housenumber': '1231', 'addr:street': 'Davie Street', 'addr:city': 'Vancouver'}"
460,49.2814778,-123.1336029,2016-08-15T01:05:41.000-07:00,cafe,exile,"{'addr:housenumber': '1220', 'addr:street': 'Bute Street'}"
504,49.2094419,-123.1161616,2018-10-25T14:20:57.000-07:00,pub,dublin crossing irish pub,"{'addr:housenumber': '466', 'website': 'http://dublincrossingvancouver.com/', 'phone': '+1-604-428-8577', 'outdoor_seating': 'yes', 'addr:street': 'SW Marine Drive', 'addr:postcode': 'V5X 0C4', 'addr:city': 'Vancouver'}"
517,49.0408954,-122.2698339,2016-08-16T16:50:10.000-07:00,cafe,starbucks,{'cuisine': 'coffee_shop'}
596,49.2764267,-122.849875,2019-08-15T22:46:05.000-07:00,restaurant,spacca napoli,{'cuisine': 'pizza'}
617,49.2873431,-123.1143935,2019-08-29T17:32:53.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
629,49.2842686,-123.1197597,2018-02-10T15:24:53.000-08:00,fast_food,smokehouse sandwich co,"{'opening_hours': 'Mo-Fr 07:00-15:00', 'cuisine': 'sandwich', 'website': 'http://www.smokehousesandwich.ca', 'phone': '+1-604-620-0766'}"
636,49.2387806,-123.0316319,2019-07-07T03:58:25.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'wheelchair': 'yes', 'website': 'https://www.timhortons.com/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '5055', 'phone': '+1-604-433-3354', 'smoking': 'no', 'opening_hours': '24/7', 'addr:street': 'Joyce Street', 'brand': 'Tim Hortons'}"
637,49.2641324,-123.1816701,2019-12-13T06:56:27.000-08:00,cafe,essentia cafe,"{'opening_hours': 'Mo-Fr 08:00-18:00; Sa-Su 09:00-18:00', 'addr:housenumber': '3498', 'addr:street': 'W Broadway'}"
638,49.2643451,-123.1757208,2019-10-09T05:11:15.000-07:00,restaurant,deacon's corner,{}
650,49.2686141,-123.158778,2019-08-29T18:37:06.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
657,49.2863279,-123.1256179,2019-08-28T07:25:01.000-07:00,restaurant,kirin mandarin restaurant,"{'addr:housenumber': '1172', 'addr:street': 'Alberni Street', 'phone': '+1-604-682-8833'}"
658,49.285993500000004,-123.1250868,2019-09-13T13:56:59.000-07:00,restaurant,pink elephant thai,"{'cuisine': 'thai', 'addr:housenumber': '1152', 'addr:street': 'Alberni Street', 'addr:city': 'Vancouver'}"
659,49.285902899999996,-123.1249177,2019-08-28T07:25:01.000-07:00,cafe,tim hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1150', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Alberni Street', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
660,49.2860548,-123.1251718,2019-08-28T07:25:01.000-07:00,fast_food,a&w,"{'addr:housenumber': '1158', 'addr:street': 'Alberni Street'}"
661,49.2860886,-123.1252316,2019-08-28T07:25:01.000-07:00,fast_food,subway,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '1162', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'addr:street': 'Alberni Street', 'takeaway': 'yes', 'brand': 'Subway'}"
662,49.28525,-123.1254062,2016-08-09T19:10:21.000-07:00,restaurant,fantacity karaoke,"{'cuisine': 'asian', 'addr:housenumber': '1133', 'addr:street': 'Robson Street'}"
663,49.2876133,-123.1149238,2019-11-25T23:07:41.000-08:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Vancouver'}"
701,49.2842068,-123.1002041,2019-09-02T22:08:25.000-07:00,pub,alibi room,"{'opening_hours': 'Mo-Th 17:00-23:30; Fr 17:00-00:30; Sa 10:00-14:45,17:00-00:30; Su 10:00-14:45,17:00-23:30', 'addr:housenumber': '157', 'website': 'http://www.alibi.ca/', 'addr:street': 'Alexander Street'}"
702,49.2633356,-123.1144174,2019-09-13T13:56:49.000-07:00,fast_food,a&w,"{'addr:housenumber': '467', 'opening_hours': 'Mo-Su 00:00-24:00', 'cuisine': 'burger', 'outdoor_seating': 'no', 'addr:street': 'West Broadway', 'addr:postcode': 'V5Y 1R4', 'addr:city': 'Vancouver'}"
704,49.2630977,-123.1172998,2018-12-16T10:09:32.000-08:00,cafe,elysian coffee roasters,"{'opening_hours': 'Mo-Su 07:00-19:00', 'cuisine': 'coffee_shop', 'addr:housenumber': '590', 'addr:street': 'West Broadway', 'source': 'http://www.elysiancoffee.com/'}"
705,49.212995,-123.1401,2019-05-29T17:48:57.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'wheelchair': 'limited', 'addr:housenumber': '8002', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Granville Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
707,49.3721579,-123.0988075,2019-06-09T12:39:41.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'addr:housenumber': '6400', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Nancy Greene Way', 'takeaway': 'yes', 'brand': 'Starbucks'}"
708,49.3810218,-123.0791455,2015-11-14T18:34:31.000-08:00,fast_food,beaver tails,"{'cuisine': 'pastry', 'smoking': 'no'}"
709,49.1797273,-123.137991,2018-06-20T15:12:27.000-07:00,cafe,paul's kitchen,"{'phone': '+1-604-273-0373', 'level': '0', 'opening_hours': '11:00-20:00', 'cuisine': 'chinese', 'addr:unit': '135', 'name:zh': '保羅美食'}"
710,49.1795513,-123.1375541,2018-06-20T15:12:27.000-07:00,restaurant,fukuroku sushi express,"{'alt_name': 'FuKuRoKu Express', 'website': 'http://www.eatalot.ca', 'phone': '+1-604-279-0922', 'level': '0', 'opening_hours': '08:00-23:00', 'cuisine': 'sushi', 'addr:unit': '155'}"
716,49.0523043,-122.3227371,2018-06-20T15:12:28.000-07:00,fast_food,lully's sandwich bar,"{'alt_name': ""Lully's Mobile Food Experience"", 'website': 'https://m.facebook.com/Lullys-Mobile-Food-Experience-869975846380585', 'phone': '+1-250-384-0403', 'description': 'Montreal Old Fashioned Smoked Meat', 'cuisine': 'sandwich', 'url': 'http://lullys.ca'}"
722,49.2643899,-123.0695091,2019-09-13T13:56:59.000-07:00,restaurant,cabrito - tapas bebidas,"{'addr:housenumber': '2270', 'website': 'http://cabrito.ca', 'phone': '+1-604-620-7636', 'addr:street': 'Commercial Drive', 'addr:postcode': 'V5N 4B5', 'addr:city': 'Vancouver'}"
736,49.2848652,-123.125665,2019-10-18T16:32:50.000-07:00,restaurant,spicy 6,"{'addr:housenumber': '1116', 'website': 'http://spicy6.com', 'phone': '+1-604-336-7999', 'opening_hours': 'Mo-Su 11:30-22:00', 'cuisine': 'indian', 'addr:street': 'Robson Street', 'fax': '+1-604-336-7997', 'addr:postcode': 'V6E 1B2', 'email': 'eat@spicy6.com', 'addr:city': 'Vancouver'}"
738,49.1048167,-122.8022148,2019-09-23T20:08:40.000-07:00,cafe,starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '15161', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Highway 10', 'takeaway': 'yes', 'brand': 'Starbucks'}"
739,49.1842852,-123.0911234,2018-06-20T15:12:22.000-07:00,restaurant,daddy's delight kabobs,"{'addr:housenumber': '4020', 'website': 'http://daddysdelightkabobs.com', 'phone': '+1-604-207-9091', 'addr:street': 'No 5 Rd #110', 'category': 'Persian Restaurant', 'addr:postcode': 'V6X 2V1', 'addr:city': 'Richmond'}"
741,49.1767616,-122.689973,2017-02-16T08:54:01.000-08:00,cafe,tim hortons,"{'opening_hours': '24/7', 'addr:housenumber': '19218', 'addr:street': '96 Avenue', 'internet_access': 'wlan'}"
744,49.1681085,-122.6675276,2019-12-20T09:33:37.000-08:00,restaurant,waka sushi,{'name:en': 'Waka Sushi'}
745,49.2501163,-122.8923026,2019-09-23T20:19:36.000-07:00,fast_food,mcdonald's,"{'brand:wikidata': 'Q38076', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'North Road', 'takeaway': 'yes', 'brand': ""McDonald's""}"
747,49.1742656,-122.6668885,2016-10-24T00:20:02.000-07:00,fast_food,triple-o's,"{'name:en': ""Triple-O's""}"
750,49.2492264,-123.1007752,2019-11-20T08:20:04.000-08:00,cafe,caffe artigiano,"{'opening_hours': 'Mo-Fr 06:00-18:30; Sa,Su 06:30-18:30', 'addr:housenumber': '4010', 'name:en': 'Caffe Artigiano', 'addr:street': 'Main Street'}"
751,49.2500121,-123.1008107,2017-11-05T20:43:41.000-08:00,restaurant,french table bistro,"{'addr:housenumber': '3916', 'name:en': 'French Table Bistro', 'addr:street': 'Main Street'}"
753,49.2802067,-123.099978,2016-10-24T07:14:50.000-07:00,restaurant,golden garden vietnamese cuisine,{'name:en': 'Golden Garden Vietnamese Cuisine'}
